"l_z","l_x","rho","gwr_std","gwr_bias","lgwr_std","lgwr_bias","local_L_std","local_L_mean","bw_mean","bw_sd","n_ok"
0.2,0.2,0,0.341602761965418,0.00701335988570205,0.0228400283123039,-0.00505538710087202,0.216044765605703,0.000121651952856875,24.6333333333333,8.33556292012737,30
0.6,0.2,0,0.320785480595413,0.00352838292864862,0.0226450054881986,-0.00431713811421367,0.316001578658478,0.04559699690748,21.4666666666667,1.33218341217648,30
1.5,0.2,0,0.310412991029253,0.00388976409459149,0.0236491625072566,-0.00343239040119607,0.331937502449792,0.0529860145259784,21.7666666666667,1.45467933030719,30
0.2,0.6,0,0.546171830926389,-0.00746264084252732,0.0251899427784364,-0.00638786951400873,0.286621031877074,0.00706116571115427,26,11.9856235721715,30
0.6,0.6,0,0.547190329242459,-0.0264717354239028,0.0263590468475675,-0.00569628365182753,0.417674896485792,0.0056306314752724,20.7666666666667,1.1351236704106,30
1.5,0.6,0,0.525312883979146,-0.0271953446859282,0.0282156326388924,-0.00540860828425432,0.443253781046501,0.00334266420487406,20.9,1.06187862154606,30
0.2,1.5,0,0.82045813331602,0.0669557955649076,0.0270184488147042,-0.00821666945895866,0.350151456181227,0.0124598175685077,21.5333333333333,1.92503172089106,30
0.6,1.5,0,0.714043753608535,-0.0222835815460757,0.0292534893025769,-0.00737534857992116,0.462742034302941,-0.0252884249029817,20.5,0.937715492474976,30
1.5,1.5,0,0.643399391068613,-0.0810504982508052,0.031432236126016,-0.00407254133484342,0.488635010820267,-0.0740798856782444,20.6666666666667,0.958926602970768,30
0.2,0.2,0.5,0.290699462177489,0.51721812425377,0.0266215520001728,-0.00623965617913605,0.219956656561777,0.12323130556585,26.0333333333333,9.06483669835348,30
0.6,0.2,0.5,0.298069006007049,0.270094283712122,0.0256975595182119,-0.00500936158274876,0.323566286296928,0.16812893781756,21.7,1.48904042232249,30
1.5,0.2,0.5,0.296524627993599,0.121499316481482,0.0235829808451596,-0.00214840415799318,0.326079109583704,0.0932786742016055,21.8,1.51771152590407,30
0.2,0.6,0.5,0.530724820659669,0.513788744213993,0.0286207327976503,-0.00470448394583523,0.307199469714616,0.119573760931647,23.2333333333333,6.50561207771776,30
0.6,0.6,0.5,0.485852106996639,0.489450847627373,0.0311543927566873,-0.00511049152975985,0.427901328755303,0.265678645020606,21,1.20344333562863,30
1.5,0.6,0.5,0.459291661941342,0.322282972145965,0.0326902319230527,-0.00135532405308417,0.447510478336475,0.226110449605249,21.2,1.21485063648397,30
0.2,1.5,0.5,0.82283178912019,0.370205800156857,0.0302938167369746,-0.00407396626675559,0.345195417246085,0.0529373841698954,21.2666666666667,1.74065650186108,30
0.6,1.5,0.5,0.668789967515559,0.468829025208531,0.0320818445904023,-0.00306299759868596,0.451721855545455,0.193452045283549,20.5,0.937715492474976,30
1.5,1.5,0.5,0.565384009209134,0.417720731839021,0.0383125772063751,0.00175438972606526,0.475300385294266,0.206348093253038,20.9666666666667,1.15917132509372,30
0.2,0.2,0.9,0.148232400265214,0.907180395568459,0.0535940670732678,-0.0126414587559736,0.217170632020032,0.193289281624439,31.6333333333333,13.3609914285588,30
0.6,0.2,0.9,0.250458708498651,0.46798177308987,0.0320297393098213,-0.00585379194856591,0.343091999412806,0.24963529112308,21.3,1.02216808119159,30
1.5,0.2,0.9,0.27599554366208,0.214914230616494,0.0244556748583771,-0.00198915042167744,0.334459013731339,0.102769642114536,21.4,0.932183199398798,30
0.2,0.6,0.9,0.477255176472225,0.908990926940182,0.0354521221425256,0.00408769244518602,0.329301658688778,0.231983000226734,22.6666666666667,4.92938642984222,30
0.6,0.6,0.9,0.258767325530698,0.907983103299027,0.065594062094059,-0.00585938096786331,0.42268039674184,0.40179330106434,25.4666666666667,8.68106672824428,30
1.5,0.6,0.9,0.339749882679105,0.644331411806173,0.0515206883912287,-0.00857730496091987,0.45558522256346,0.350257785613387,22.7666666666667,3.6923344016128,30
0.2,1.5,0.9,0.75165154387539,0.592865756336963,0.0306468479489956,0.00740765845619965,0.334094153886691,0.101113166963463,20.8666666666667,1.54770872545533,30
0.6,1.5,0.9,0.47717801585734,0.860670619199471,0.0502130471695397,0.0031004600804254,0.447049788526392,0.360685988076143,21.8333333333333,2.11860938993634,30
1.5,1.5,0.9,0.286005909460876,0.853772691880547,0.0847473588438975,0.000157689274180842,0.419529918341185,0.377050456013318,27.7333333333333,10.6023202838954,30
