"x","y","beta_hat","beta_long","local_L_surf","Z_surf","X_surf","l_z","l_x","rho","gwr_std","gwr_bias","lgwr_std","lgwr_bias","local_L_std","local_L_mean","bw_mean"
0,0,0.740592450644786,0.9605641208634,-0.10405659996467,-0.59465077875439,0.579015955101923,0.2,0.2,0,0.341602761965418,0.00701335988570205,0.0228400283123039,-0.00505538710087202,0.216044765605703,0.000121651952856875,24.6333333333333
0.142857142857143,0,0.732263224357254,0.967069513709258,-0.062223186578069,-0.295720654393548,-0.0780583344363723,0.2,0.2,0,0.341602761965418,0.00701335988570205,0.0228400283123039,-0.00505538710087202,0.216044765605703,0.000121651952856875,24.6333333333333
0.285714285714286,0,0.76486757371255,0.975969557158342,0.000469681100569249,-0.187526684644587,0.523868462962752,0.2,0.2,0,0.341602761965418,0.00701335988570205,0.0228400283123039,-0.00505538710087202,0.216044765605703,0.000121651952856875,24.6333333333333
0.428571428571429,0,0.863504051796898,0.982778867355794,-0.0134117912169169,0.586839207312659,0.814958771525066,0.2,0.2,0,0.341602761965418,0.00701335988570205,0.0228400283123039,-0.00505538710087202,0.216044765605703,0.000121651952856875,24.6333333333333
0.571428571428571,0,0.927365586965949,0.987866605764442,0.0140131774339768,0.584459530821373,0.62721840550487,0.2,0.2,0,0.341602761965418,0.00701335988570205,0.0228400283123039,-0.00505538710087202,0.216044765605703,0.000121651952856875,24.6333333333333
0.714285714285714,0,0.989453432211713,0.991487859087255,0.0442375437642473,0.540526475349495,0.424423218650349,0.2,0.2,0,0.341602761965418,0.00701335988570205,0.0228400283123039,-0.00505538710087202,0.216044765605703,0.000121651952856875,24.6333333333333
0.857142857142857,0,1.11336209159584,0.989856043158746,0.0716095180686084,-0.170006664840482,0.766418625420723,0.2,0.2,0,0.341602761965418,0.00701335988570205,0.0228400283123039,-0.00505538710087202,0.216044765605703,0.000121651952856875,24.6333333333333
1,0,1.24522455619837,0.988762340203284,0.168255978167787,0.297686374263174,-0.169558750942236,0.2,0.2,0,0.341602761965418,0.00701335988570205,0.0228400283123039,-0.00505538710087202,0.216044765605703,0.000121651952856875,24.6333333333333
0,0.142857142857143,0.727717066339612,0.954513521516345,-0.208722937942259,-1.06905788896201,-0.51243311579994,0.2,0.2,0,0.341602761965418,0.00701335988570205,0.0228400283123039,-0.00505538710087202,0.216044765605703,0.000121651952856875,24.6333333333333
0.142857142857143,0.142857142857143,0.682004002788199,0.960587939330183,-0.0310355368153113,-0.864500543101984,0.856938317034937,0.2,0.2,0,0.341602761965418,0.00701335988570205,0.0228400283123039,-0.00505538710087202,0.216044765605703,0.000121651952856875,24.6333333333333
0.285714285714286,0.142857142857143,0.694332491788758,0.969443017821525,0.00526592250737789,-0.28379878160778,-0.436518461092106,0.2,0.2,0,0.341602761965418,0.00701335988570205,0.0228400283123039,-0.00505538710087202,0.216044765605703,0.000121651952856875,24.6333333333333
0.428571428571429,0.142857142857143,0.807622293345869,0.979282733614637,-0.0500337655241981,0.328749456842782,-0.0366858850541226,0.2,0.2,0,0.341602761965418,0.00701335988570205,0.0228400283123039,-0.00505538710087202,0.216044765605703,0.000121651952856875,24.6333333333333
0.571428571428571,0.142857142857143,0.933176501636482,0.98652074127178,-0.0424555275065214,0.305856400574067,-0.438445289781677,0.2,0.2,0,0.341602761965418,0.00701335988570205,0.0228400283123039,-0.00505538710087202,0.216044765605703,0.000121651952856875,24.6333333333333
0.714285714285714,0.142857142857143,0.992642863821559,0.989594725361892,0.0336355184351034,0.72194776306155,0.129337558590741,0.2,0.2,0,0.341602761965418,0.00701335988570205,0.0228400283123039,-0.00505538710087202,0.216044765605703,0.000121651952856875,24.6333333333333
0.857142857142857,0.142857142857143,1.22619615600561,0.98831161566497,0.0414781843092017,0.380170678328011,1.14729111650786,0.2,0.2,0,0.341602761965418,0.00701335988570205,0.0228400283123039,-0.00505538710087202,0.216044765605703,0.000121651952856875,24.6333333333333
1,0.142857142857143,1.34708133739225,0.988865161070719,0.270276450599478,0.279652065046151,-0.92809389959489,0.2,0.2,0,0.341602761965418,0.00701335988570205,0.0228400283123039,-0.00505538710087202,0.216044765605703,0.000121651952856875,24.6333333333333
0,0.285714285714286,0.738233190748992,0.946979486702315,-0.199268602813351,-1.08600811917915,0.558673714564507,0.2,0.2,0,0.341602761965418,0.00701335988570205,0.0228400283123039,-0.00505538710087202,0.216044765605703,0.000121651952856875,24.6333333333333
0.142857142857143,0.285714285714286,0.694079494638762,0.952357365791769,-0.0982191718334327,-0.487510439084725,0.719229736685982,0.2,0.2,0,0.341602761965418,0.00701335988570205,0.0228400283123039,-0.00505538710087202,0.216044765605703,0.000121651952856875,24.6333333333333
0.285714285714286,0.285714285714286,0.594647857998749,0.96058553921508,0.0343352463995926,-0.735449490986197,-0.939497365084308,0.2,0.2,0,0.341602761965418,0.00701335988570205,0.0228400283123039,-0.00505538710087202,0.216044765605703,0.000121651952856875,24.6333333333333
0.428571428571429,0.285714285714286,0.727984217754815,0.973025552362812,0.00635854380021036,1.26137630948228,-2.0936187735999,0.2,0.2,0,0.341602761965418,0.00701335988570205,0.0228400283123039,-0.00505538710087202,0.216044765605703,0.000121651952856875,24.6333333333333
0.571428571428571,0.285714285714286,1.00732469485705,0.984066764142296,-0.173625166423847,0.70088637882344,-0.769723669411302,0.2,0.2,0,0.341602761965418,0.00701335988570205,0.0228400283123039,-0.00505538710087202,0.216044765605703,0.000121651952856875,24.6333333333333
0.714285714285714,0.285714285714286,1.1714789099605,0.986592691355776,-0.0806423313898149,1.00584352498051,0.0393066727141444,0.2,0.2,0,0.341602761965418,0.00701335988570205,0.0228400283123039,-0.00505538710087202,0.216044765605703,0.000121651952856875,24.6333333333333
0.857142857142857,0.285714285714286,1.38138260571635,0.987654626520759,0.103453144544689,0.847809168610596,0.600600791944391,0.2,0.2,0,0.341602761965418,0.00701335988570205,0.0228400283123039,-0.00505538710087202,0.216044765605703,0.000121651952856875,24.6333333333333
1,0.285714285714286,1.45470166452427,0.988000552183568,0.271333634319719,0.929913400551054,0.297758492339062,0.2,0.2,0,0.341602761965418,0.00701335988570205,0.0228400283123039,-0.00505538710087202,0.216044765605703,0.000121651952856875,24.6333333333333
0,0.428571428571429,0.802047408976643,0.940915983143887,-0.136961443183683,-1.2321079711848,2.12409702138787,0.2,0.2,0,0.341602761965418,0.00701335988570205,0.0228400283123039,-0.00505538710087202,0.216044765605703,0.000121651952856875,24.6333333333333
0.142857142857143,0.428571428571429,0.741944071033283,0.943843358764894,-0.061155446509661,-0.986877869456167,1.06570504209577,0.2,0.2,0,0.341602761965418,0.00701335988570205,0.0228400283123039,-0.00505538710087202,0.216044765605703,0.000121651952856875,24.6333333333333
0.285714285714286,0.428571428571429,0.646717453034113,0.949211508509609,0.113362553493616,-0.929116872505753,-0.822470155985591,0.2,0.2,0,0.341602761965418,0.00701335988570205,0.0228400283123039,-0.00505538710087202,0.216044765605703,0.000121651952856875,24.6333333333333
0.428571428571429,0.428571428571429,0.670562553679624,0.960728192868306,0.160029026325302,0.495224585286778,-0.489502068539566,0.2,0.2,0,0.341602761965418,0.00701335988570205,0.0228400283123039,-0.00505538710087202,0.216044765605703,0.000121651952856875,24.6333333333333
0.571428571428571,0.428571428571429,1.1577258401074,0.97773843396669,-0.179649404543667,-0.0497199629658436,-0.6796396216105,0.2,0.2,0,0.341602761965418,0.00701335988570205,0.0228400283123039,-0.00505538710087202,0.216044765605703,0.000121651952856875,24.6333333333333
0.714285714285714,0.428571428571429,1.47211832461234,0.980106303816955,-0.0569314428074728,0.436098495526954,-0.904100937765232,0.2,0.2,0,0.341602761965418,0.00701335988570205,0.0228400283123039,-0.00505538710087202,0.216044765605703,0.000121651952856875,24.6333333333333
